listing_type,tenant_rating,bedrooms,bathrooms,monthly_rent
Entire home/apt,5,4,2.5,2500
Entire home/apt,,2,1,1000
Private room,4.5,1,1,820
Entire home/apt,5,0,1,490
Entire home/apt,4.5,1,1,900
Private room,4.5,1,3,650
Private room,5,1,1,780
Entire home/apt,5,2,1,1650
Entire home/apt,5,2,1,950
Entire home/apt,4.5,1,1,1150
Entire home/apt,5,2,1,1350
Private room,4.5,0,1.5,500
Private room,4.5,1,,410
Private room,5,1,1,1090
Entire home/apt,5,3,2,2500
Private room,4.5,1,1.5,370
Private room,4.5,3,1.5,500
Private room,4.5,1,1,1000
Entire home/apt,5,0,1,720
Entire home/apt,4.5,1,1,600
Entire home/apt,5,1,1,1400
Entire home/apt,4.5,2,1,990
Entire home/apt,5,1,1,590
Private room,5,1,1,450
Entire home/apt,5,1,1,770
Entire home/apt,4,3,2,1800
Private room,5,1,1,750
Entire home/apt,4.5,2,1,1620
Entire home/apt,5,1,1,700
Entire home/apt,5,2,1,2690
Entire home/apt,4.5,2,1,1650
Entire home/apt,4,1,1,750
Entire home/apt,4,1,1,850
Entire home/apt,5,1,1,1250
Entire home/apt,5,3,2.5,2950
Entire home/apt,5,1,1,950
Private room,4.5,1,1,440
Private room,4.5,1,1,600
Entire home/apt,5,1,1,1100
Private room,4.5,1,1,750
Private room,4.5,1,1,400
Entire home/apt,4.5,2,1,620
Entire home/apt,5,1,1,790
Private room,5,1,1,500
Private room,4.5,1,1,400
Private room,5,1,1,700
Private room,4.5,1,1,1000
Private room,5,1,1,550
Private room,4.5,1,1.5,300
Private room,5,1,1.5,330
Private room,4,1,1.5,330
Private room,5,1,2,350
Private room,4.5,1,1.5,330
Private room,5,1,1,550
Private room,4.5,1,1,650
Entire home/apt,4.5,1,1,2000
Entire home/apt,4.5,2,1,2000
Entire home/apt,5,1,1,750
Entire home/apt,5,1,1,1200
Entire home/apt,5,1,1,1150
Entire home/apt,5,1,1,1350
Private room,5,1,1,1000
Entire home/apt,5,1,1,790
Entire home/apt,5,1,1,640
Entire home/apt,5,2,1,900
Entire home/apt,5,1,1,900
Private room,5,1,1,850
Private room,5,1,1,750
